"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.076526,0.22265,0.00044015,0.0051305,1,0,0.95,0,-1
-0.074678,0.22852,0.00045831,0.0050296,1,0.002,0.95,0,-0.998
-0.07283,0.23439,0.00047647,0.0049286,1,0.004,0.95,0,-0.996
-0.070982,0.24026,0.00049463,0.0048276,1,0.006,0.95,0,-0.994
-0.069134,0.24613,0.00051279,0.0047267,1,0.008,0.95,0,-0.992
-0.067286,0.252,0.00053094,0.0046257,1,0.01,0.95,0,-0.99
-0.065438,0.25787,0.0005491,0.0045247,1,0.012,0.95,0,-0.988
-0.06359,0.26374,0.00056726,0.0044237,1,0.014,0.95,0,-0.986
-0.061742,0.26961,0.00058542,0.0043228,1,0.016,0.95,0,-0.984
-0.059894,0.27548,0.00060358,0.0042218,1,0.018,0.95,0,-0.982
-0.058046,0.28135,0.00062173,0.0041208,1,0.02,0.95,0,-0.98
-0.052994,0.29469,0.0003277,0.0039918,1,0.022,0.95,0,-0.978
-0.047942,0.30802,3.3676e-05,0.0038627,1,0.024,0.95,0,-0.976
-0.04289,0.32135,-0.00026036,0.0037337,1,0.026,0.95,0,-0.974
-0.037838,0.33469,-0.00055438,0.0036047,1,0.028,0.95,0,-0.972
-0.032786,0.34802,-0.00084841,0.0034756,1,0.03,0.95,0,-0.97
-0.027734,0.36135,-0.0011424,0.0033466,1,0.032,0.95,0,-0.968
-0.022682,0.37469,-0.0014365,0.0032176,1,0.034,0.95,0,-0.966
-0.01763,0.38802,-0.0017305,0.0030885,1,0.036,0.95,0,-0.964
-0.012578,0.40135,-0.0020245,0.0029595,1,0.038,0.95,0,-0.962
-0.0075257,0.41468,-0.0023186,0.0028304,1,0.04,0.95,0,-0.96
-0.0010584,0.42794,-0.0022171,0.0029665,1,0.042,0.95,0,-0.958
0.0054091,0.4412,-0.0021156,0.0031025,1,0.044,0.95,0,-0.956
0.011876,0.45445,-0.0020142,0.0032385,1,0.046,0.95,0,-0.954
0.018344,0.46771,-0.0019127,0.0033745,1,0.048,0.95,0,-0.952
0.024811,0.48097,-0.0018113,0.0035106,1,0.05,0.95,0,-0.95
0.031279,0.49422,-0.0017098,0.0036466,1,0.052,0.95,0,-0.948
0.037746,0.50748,-0.0016084,0.0037826,1,0.054,0.95,0,-0.946
0.044213,0.52073,-0.0015069,0.0039187,1,0.056,0.95,0,-0.944
0.050681,0.53399,-0.0014055,0.0040547,1,0.058,0.95,0,-0.942
0.057148,0.54725,-0.001304,0.0041907,1,0.06,0.95,0,-0.94
0.059736,0.55194,-0.0010595,0.0043083,1,0.062,0.95,0,-0.938
0.062324,0.55664,-0.0008149,0.0044259,1,0.064,0.95,0,-0.936
0.064912,0.56134,-0.00057034,0.0045435,1,0.066,0.95,0,-0.934
0.0675,0.56604,-0.00032578,0.0046611,1,0.068,0.95,0,-0.932
0.070088,0.57074,-8.1231e-05,0.0047787,1,0.07,0.95,0,-0.93
0.072676,0.57543,0.00016333,0.0048963,1,0.072,0.95,0,-0.928
0.075264,0.58013,0.00040788,0.0050139,1,0.074,0.95,0,-0.926
0.077852,0.58483,0.00065244,0.0051315,1,0.076,0.95,0,-0.924
0.080441,0.58953,0.000897,0.0052491,1,0.078,0.95,0,-0.922
0.083029,0.59423,0.0011415,0.0053668,1,0.08,0.95,0,-0.92
0.078918,0.58666,0.0012936,0.0051741,1,0.082,0.95,0,-0.918
0.074808,0.57909,0.0014456,0.0049815,1,0.084,0.95,0,-0.916
0.070698,0.57152,0.0015977,0.0047889,1,0.086,0.95,0,-0.914
0.066588,0.56395,0.0017497,0.0045963,1,0.088,0.95,0,-0.912
0.062478,0.55638,0.0019018,0.0044037,1,0.09,0.95,0,-0.91
0.058368,0.5488,0.0020538,0.0042111,1,0.092,0.95,0,-0.908
0.054258,0.54124,0.0022058,0.0040185,1,0.094,0.95,0,-0.906
0.050148,0.53366,0.0023579,0.0038259,1,0.096,0.95,0,-0.904
0.046038,0.52609,0.0025099,0.0036333,1,0.098,0.95,0,-0.902
0.041928,0.51852,0.002662,0.0034407,1,0.1,0.95,0,-0.9
0.035647,0.50484,0.0025879,0.0033668,1,0.102,0.95,0,-0.898
0.029366,0.49115,0.0025139,0.0032929,1,0.104,0.95,0,-0.896
0.023084,0.47747,0.0024399,0.0032191,1,0.106,0.95,0,-0.894
0.016803,0.46378,0.0023658,0.0031452,1,0.108,0.95,0,-0.892
0.010522,0.4501,0.0022918,0.0030714,1,0.11,0.95,0,-0.89
0.0042412,0.43641,0.0022178,0.0029975,1,0.112,0.95,0,-0.888
-0.00204,0.42273,0.0021437,0.0029236,1,0.114,0.95,0,-0.886
-0.008321,0.40904,0.0020697,0.0028498,1,0.116,0.95,0,-0.884
-0.014602,0.39536,0.0019957,0.0027759,1,0.118,0.95,0,-0.882
-0.020883,0.38167,0.0019216,0.0027021,1,0.12,0.95,0,-0.88
-0.025257,0.3694,0.0016058,0.002864,1,0.122,0.95,0,-0.878
-0.029632,0.35713,0.0012901,0.003026,1,0.124,0.95,0,-0.876
-0.034006,0.34486,0.00097427,0.0031879,1,0.126,0.95,0,-0.874
-0.03838,0.33258,0.00065848,0.0033499,1,0.128,0.95,0,-0.872
-0.042754,0.32031,0.00034269,0.0035119,1,0.13,0.95,0,-0.87
-0.047129,0.30804,2.6898e-05,0.0036738,1,0.132,0.95,0,-0.868
-0.051503,0.29577,-0.00028889,0.0038358,1,0.134,0.95,0,-0.866
-0.055877,0.28349,-0.00060467,0.0039977,1,0.136,0.95,0,-0.864
-0.060251,0.27122,-0.00092046,0.0041597,1,0.138,0.95,0,-0.862
-0.064626,0.25895,-0.0012362,0.0043217,1,0.14,0.95,0,-0.86
-0.065759,0.25512,-0.0011028,0.0043995,1,0.142,0.95,0,-0.858
-0.066891,0.25129,-0.00096937,0.0044774,1,0.144,0.95,0,-0.856
-0.068024,0.24747,-0.00083592,0.0045553,1,0.146,0.95,0,-0.854
