"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.073352,0.2373,0.00011377,0.0018033,1,0,0.95,0,-1
-0.07196,0.24218,0.00017954,0.001712,1,0.002,0.95,0,-0.998
-0.070567,0.24707,0.00024532,0.0016207,1,0.004,0.95,0,-0.996
-0.069175,0.25195,0.00031109,0.0015293,1,0.006,0.95,0,-0.994
-0.067783,0.25684,0.00037686,0.001438,1,0.008,0.95,0,-0.992
-0.066391,0.26172,0.00044263,0.0013467,1,0.01,0.95,0,-0.99
-0.064999,0.2666,0.00050841,0.0012554,1,0.012,0.95,0,-0.988
-0.062737,0.27355,0.00061171,0.00113,1,0.014,0.95,0,-0.986
-0.058735,0.2846,0.00079006,0.00093673,1,0.016,0.95,0,-0.984
-0.054733,0.29565,0.00096842,0.00074341,1,0.018,0.95,0,-0.982
-0.050731,0.30671,0.0011468,0.0005501,1,0.02,0.95,0,-0.98
-0.046729,0.31776,0.0013251,0.00035678,1,0.022,0.95,0,-0.978
-0.042727,0.32882,0.0015035,0.00016347,1,0.024,0.95,0,-0.976
-0.038724,0.33987,0.0016818,-2.9843e-05,1,0.026,0.95,0,-0.974
-0.03335,0.35176,0.0018081,-0.00017143,1,0.028,0.95,0,-0.972
-0.02729,0.36406,0.0019083,-0.00028714,1,0.03,0.95,0,-0.97
-0.021229,0.37637,0.0020084,-0.00040287,1,0.032,0.95,0,-0.968
-0.015169,0.38867,0.0021086,-0.00051859,1,0.034,0.95,0,-0.966
-0.0091081,0.40098,0.0022088,-0.00063431,1,0.036,0.95,0,-0.964
-0.0030477,0.41328,0.002309,-0.00075003,1,0.038,0.95,0,-0.962
0.0030129,0.42559,0.0024092,-0.00086575,1,0.04,0.95,0,-0.96
0.010143,0.43879,0.0023312,-0.00078292,1,0.042,0.95,0,-0.958
0.017273,0.45199,0.0022533,-0.00070008,1,0.044,0.95,0,-0.956
0.024402,0.4652,0.0021754,-0.00061725,1,0.046,0.95,0,-0.954
0.031532,0.4784,0.0020975,-0.00053442,1,0.048,0.95,0,-0.952
