"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.092821,0.61655,-0.00056381,-0.027358,1,0,0.95,0,-1
0.090573,0.61141,-0.00067268,-0.027471,1,0.002,0.95,0,-0.998
0.088325,0.60627,-0.00078155,-0.027584,1,0.004,0.95,0,-0.996
0.086078,0.60112,-0.00089042,-0.027697,1,0.006,0.95,0,-0.994
0.08383,0.59598,-0.0009993,-0.02781,1,0.008,0.95,0,-0.992
0.081582,0.59084,-0.0011082,-0.027923,1,0.01,0.95,0,-0.99
0.076121,0.57919,-0.0013017,-0.028156,1,0.012,0.95,0,-0.988
0.07066,0.56755,-0.0014953,-0.028388,1,0.014,0.95,0,-0.986
0.065199,0.5559,-0.0016889,-0.02862,1,0.016,0.95,0,-0.984
0.059738,0.54425,-0.0018825,-0.028852,1,0.018,0.95,0,-0.982
0.054277,0.53261,-0.0020761,-0.029085,1,0.02,0.95,0,-0.98
0.047908,0.52048,-0.0021666,-0.029257,1,0.022,0.95,0,-0.978
0.041538,0.50836,-0.0022571,-0.029428,1,0.024,0.95,0,-0.976
0.035169,0.49623,-0.0023476,-0.0296,1,0.026,0.95,0,-0.974
0.028799,0.48411,-0.0024381,-0.029772,1,0.028,0.95,0,-0.972
0.02243,0.47198,-0.0025287,-0.029944,1,0.03,0.95,0,-0.97
0.016483,0.46121,-0.0024536,-0.029971,1,0.032,0.95,0,-0.968
0.010536,0.45044,-0.0023785,-0.029999,1,0.034,0.95,0,-0.966
0.0045894,0.43967,-0.0023034,-0.030026,1,0.036,0.95,0,-0.964
-0.0013574,0.4289,-0.0022283,-0.030053,1,0.038,0.95,0,-0.962
-0.0073043,0.41813,-0.0021532,-0.03008,1,0.04,0.95,0,-0.96
-0.012396,0.40739,-0.0019566,-0.029971,1,0.042,0.95,0,-0.958
-0.017488,0.39665,-0.00176,-0.029862,1,0.044,0.95,0,-0.956
-0.022579,0.38591,-0.0015634,-0.029753,1,0.046,0.95,0,-0.954
-0.027671,0.37517,-0.0013668,-0.029643,1,0.048,0.95,0,-0.952
-0.032762,0.36443,-0.0011702,-0.029534,1,0.05,0.95,0,-0.95
-0.036738,0.35296,-0.00097649,-0.029347,1,0.052,0.95,0,-0.948
-0.040714,0.34149,-0.0007828,-0.02916,1,0.054,0.95,0,-0.946
-0.04469,0.33002,-0.00058911,-0.028973,1,0.056,0.95,0,-0.944
-0.048666,0.31855,-0.00039542,-0.028786,1,0.058,0.95,0,-0.942
-0.052642,0.30708,-0.00020173,-0.028599,1,0.06,0.95,0,-0.94
-0.055261,0.29661,-0.00012578,-0.028418,1,0.062,0.95,0,-0.938
-0.057879,0.28613,-4.9832e-05,-0.028237,1,0.064,0.95,0,-0.936
-0.060497,0.27566,2.6117e-05,-0.028056,1,0.066,0.95,0,-0.934
-0.063115,0.26519,0.00010207,-0.027875,1,0.068,0.95,0,-0.932
-0.065734,0.25471,0.00017802,-0.027694,1,0.07,0.95,0,-0.93
-0.066883,0.2489,0.00011715,-0.027596,1,0.072,0.95,0,-0.928
-0.068032,0.24309,5.6276e-05,-0.027498,1,0.074,0.95,0,-0.926
-0.069181,0.23729,-4.5933e-06,-0.0274,1,0.076,0.95,0,-0.924
-0.07033,0.23148,-6.5465e-05,-0.027302,1,0.078,0.95,0,-0.922
-0.071479,0.22567,-0.00012633,-0.027203,1,0.08,0.95,0,-0.92
-0.071166,0.22728,-0.00022133,-0.027227,1,0.082,0.95,0,-0.918
-0.070854,0.22889,-0.00031632,-0.02725,1,0.084,0.95,0,-0.916
-0.070542,0.23049,-0.00041132,-0.027273,1,0.086,0.95,0,-0.914
-0.07023,0.2321,-0.00050631,-0.027296,1,0.088,0.95,0,-0.912
-0.069917,0.23371,-0.0006013,-0.027319,1,0.09,0.95,0,-0.91
-0.068136,0.24194,-0.00058991,-0.027454,1,0.092,0.95,0,-0.908
-0.066355,0.25016,-0.00057852,-0.027589,1,0.094,0.95,0,-0.906
-0.064574,0.25839,-0.00056713,-0.027724,1,0.096,0.95,0,-0.904
-0.062793,0.26662,-0.00055574,-0.027858,1,0.098,0.95,0,-0.902
-0.061012,0.27484,-0.00054434,-0.027993,1,0.1,0.95,0,-0.9
-0.057788,0.28615,-0.00037551,-0.028183,1,0.102,0.95,0,-0.898
-0.054563,0.29745,-0.00020668,-0.028373,1,0.104,0.95,0,-0.896
-0.051339,0.30875,-3.7841e-05,-0.028563,1,0.106,0.95,0,-0.894
-0.048115,0.32005,0.00013099,-0.028753,1,0.108,0.95,0,-0.892
-0.044891,0.33136,0.00029983,-0.028942,1,0.11,0.95,0,-0.89
-0.040401,0.34264,0.00055609,-0.029103,1,0.112,0.95,0,-0.888
-0.03591,0.35393,0.00081237,-0.029263,1,0.114,0.95,0,-0.886
-0.03142,0.36521,0.0010686,-0.029424,1,0.116,0.95,0,-0.884
-0.02693,0.3765,0.0013249,-0.029584,1,0.118,0.95,0,-0.882
-0.022439,0.38778,0.0015812,-0.029745,1,0.12,0.95,0,-0.88
-0.01695,0.39844,0.0017938,-0.0298,1,0.122,0.95,0,-0.878
-0.011461,0.40909,0.0020065,-0.029855,1,0.124,0.95,0,-0.876
-0.0059718,0.41975,0.0022191,-0.02991,1,0.126,0.95,0,-0.874
-0.00048257,0.4304,0.0024318,-0.029965,1,0.128,0.95,0,-0.872
0.0050065,0.44106,0.0026444,-0.03002,1,0.13,0.95,0,-0.87
0.01122,0.45241,0.0027009,-0.02993,1,0.132,0.95,0,-0.868
0.017434,0.46377,0.0027573,-0.029839,1,0.134,0.95,0,-0.866
0.023647,0.47513,0.0028138,-0.029749,1,0.136,0.95,0,-0.864
0.029861,0.48649,0.0028702,-0.029659,1,0.138,0.95,0,-0.862
0.036075,0.49785,0.0029266,-0.029568,1,0.14,0.95,0,-0.86
0.042299,0.51031,0.0028291,-0.029356,1,0.142,0.95,0,-0.858
0.048522,0.52277,0.0027315,-0.029145,1,0.144,0.95,0,-0.856
0.054746,0.53523,0.002634,-0.028933,1,0.146,0.95,0,-0.854
0.06097,0.54769,0.0025364,-0.028721,1,0.148,0.95,0,-0.852
0.067194,0.56014,0.0024389,-0.028509,1,0.15,0.95,0,-0.85
0.071562,0.56977,0.0022599,-0.028311,1,0.152,0.95,0,-0.848
0.07593,0.57939,0.0020809,-0.028112,1,0.154,0.95,0,-0.846
0.080298,0.58901,0.001902,-0.027914,1,0.156,0.95,0,-0.844
0.084666,0.59863,0.001723,-0.027715,1,0.158,0.95,0,-0.842
0.089035,0.60825,0.001544,-0.027517,1,0.16,0.95,0,-0.84
0.089373,0.60892,0.0013131,-0.027507,1,0.162,0.95,0,-0.838
0.089711,0.6096,0.0010822,-0.027498,1,0.164,0.95,0,-0.836
0.090049,0.61027,0.00085132,-0.027488,1,0.166,0.95,0,-0.834
0.090388,0.61095,0.00062043,-0.027479,1,0.168,0.95,0,-0.832
