"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.091999,0.61415,-8.1717e-05,-0.00094969,1,0,0.95,0,-1
0.090387,0.61035,-0.00012878,-0.0010277,1,0.002,0.95,0,-0.998
0.088775,0.60654,-0.00017585,-0.0011057,1,0.004,0.95,0,-0.996
0.087164,0.60274,-0.00022291,-0.0011837,1,0.006,0.95,0,-0.994
0.083736,0.59491,-0.0003284,-0.00134,1,0.008,0.95,0,-0.992
0.079401,0.58506,-0.00046309,-0.0015355,1,0.01,0.95,0,-0.99
0.075066,0.57521,-0.00059779,-0.001731,1,0.012,0.95,0,-0.988
0.070198,0.56446,-0.00075016,-0.0019373,1,0.014,0.95,0,-0.986
0.064267,0.55194,-0.00093787,-0.0021653,1,0.016,0.95,0,-0.984
0.058336,0.53941,-0.0011256,-0.0023932,1,0.018,0.95,0,-0.982
0.052405,0.52688,-0.0013133,-0.0026212,1,0.02,0.95,0,-0.98
0.04595,0.51444,-0.0014791,-0.0028022,1,0.022,0.95,0,-0.978
0.039496,0.50201,-0.0016449,-0.0029831,1,0.024,0.95,0,-0.976
0.033042,0.48957,-0.0018106,-0.0031641,1,0.026,0.95,0,-0.974
0.026685,0.47786,-0.0019106,-0.0032831,1,0.028,0.95,0,-0.972
0.020375,0.46651,-0.0019775,-0.003371,1,0.03,0.95,0,-0.97
0.014065,0.45516,-0.0020445,-0.0034589,1,0.032,0.95,0,-0.968
0.0079105,0.44403,-0.0020692,-0.0035122,1,0.034,0.95,0,-0.966
0.0020653,0.43336,-0.0020091,-0.0034961,1,0.036,0.95,0,-0.964
-0.0037798,0.42268,-0.0019491,-0.00348,1,0.038,0.95,0,-0.962
-0.0096251,0.41201,-0.0018891,-0.0034639,1,0.04,0.95,0,-0.96
-0.014847,0.40115,-0.0017316,-0.0033553,1,0.042,0.95,0,-0.958
-0.02007,0.3903,-0.0015742,-0.0032467,1,0.044,0.95,0,-0.956
-0.025292,0.37944,-0.0014168,-0.0031381,1,0.046,0.95,0,-0.954
-0.030014,0.36814,-0.0012373,-0.0029859,1,0.048,0.95,0,-0.952
-0.034485,0.35662,-0.0010467,-0.0028119,1,0.05,0.95,0,-0.95
